name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
LAKE BONAVISTA,LKB,2015,10529,4000,2.63,
SHERWOOD,SHW,1970,0,0,0,
COPPERFIELD,CPF,1976,0,0,0,
PATTERSON,PAT,1995,2075,947,2.19,
LOWER MOUNT ROYAL,LMR,2002,3183,2108,1.51,
SUNNYSIDE,SSD,1993,3571,2181,1.64,
SOUTHWOOD,SOW,1971,5738,1361,4.22,
BANFF TRAIL,BNF,1983,3395,1492,2.28,
GREENVIEW,GRV,1997,2166,1041,2.08,
HIGHLAND PARK,HPK,1994,3647,1789,2.04,
RANCHLANDS,RAN,1968,19,5,3.8,
PARKLAND,PKL,1990,4785,1348,3.55,
LINCOLN PARK,LPK,1971,17,3,5.67,
SOUTH CALGARY,SOC,2011,3642,1952,1.87,
BAYVIEW,BYV,1997,704,244,2.89,
PARKDALE,PKD,2003,1815,845,2.15,
WALDEN,WAL,2002,0,0,0,
DEER RUN,DRN,1970,0,0,0,
ALBERT PARK/RADISSON HEIGHTS,ALB,1987,6222,2273,2.74,
FAIRVIEW,FAI,2012,3623,1572,2.3,
WILLOW PARK,WIL,2003,5480,2220,2.47,
ST. ANDREWS HEIGHTS,STA,1987,2135,712,3,
RIDEAU PARK,RID,1975,563,304,1.85,
BEDDINGTON HEIGHTS,BED,2012,11585,4236,2.73,
HIGHLAND PARK,HPK,1970,4809,1582,3.04,
DOWNTOWN EAST VILLAGE,DNE,1983,1036,504,2.06,
TUXEDO PARK,TUX,2007,4616,2373,1.95,
FOREST HEIGHTS,FHT,1969,3724,796,4.68,
MAYLAND HEIGHTS,MAL,1993,6148,2458,2.5,
CRESCENT HEIGHTS,CRE,1968,6017,2316,2.6,
ROSEDALE,RDL,1975,1542,636,2.42,
HIGHLAND PARK,HPK,2001,3679,1863,1.97,
CHARLESWOOD/COLLINGWOOD,,1974,8591,2365,3.63,Data from community of Triwood
DIAMOND COVE,DIA,1970,0,0,0,
SILVERADO,SVO,2014,6305,2093,3.01,
WILDWOOD,WLD,2014,2700,1012,2.67,
ROXBORO,ROX,1993,441,161,2.74,
VISTA HEIGHTS,VIS,1975,2132,577,3.69,
TUSCANY,TUS,2006,14571,5274,2.76,
HAYSBORO,HAY,2005,5931,2783,2,
HARVEST HILLS,HAR,1971,0,0,0,
COUNTRY HILLS VILLAGE,CHV,2007,1463,829,1.76,
